month_year,referrals,people,year,population,ref_rate,ref_rate_1000,proportion
2015-01-01,263,260,2015,98927,0.002658525983806241,2.658525983806241,0.0026282005923559796
2015-02-01,268,265,2015,98927,0.0027090683028900098,2.7090683028900098,0.0026787429114397483
2015-03-01,327,323,2015,98927,0.003305467668078482,3.305467668078482,0.003265033812811467
2015-04-01,257,253,2015,98927,0.002597875200905718,2.597875200905718,0.002557441345638703
2015-05-01,284,281,2015,98927,0.00287080372395807,2.87080372395807,0.0028404783325078086
2015-06-01,261,259,2015,98927,0.0026383090561727333,2.638309056172733,0.002618092128539226
2015-07-01,182,178,2015,98927,0.0018397404146491857,1.8397404146491858,0.0017993065593821707
2015-08-01,206,203,2015,98927,0.0020823435462512764,2.0823435462512765,0.002052018154801015
2015-09-01,312,304,2015,98927,0.0031538407108271755,3.1538407108271755,0.0030729730002931454
2015-10-01,274,271,2015,98927,0.0027697190857905326,2.7697190857905327,0.002739393694340271
2015-11-01,267,264,2015,98927,0.002698959839073256,2.698959839073256,0.0026686344476229947
2015-12-01,285,282,2015,98927,0.0028809121877748237,2.8809121877748236,0.0028505867963245627
2016-01-01,257,254,2016,99042,0.0025948587467942894,2.5948587467942894,0.0025645685668706205
2016-02-01,329,321,2016,99042,0.003321823064962339,3.3218230649623393,0.003241049251832556
2016-03-01,272,268,2016,99042,0.0027463096464126332,2.7463096464126333,0.002705922739847741
2016-04-01,224,221,2016,99042,0.0022616667676339333,2.2616667676339333,0.0022313765877102643
2016-05-01,251,247,2016,99042,0.002534278386946952,2.534278386946952,0.0024938914803820603
2016-06-01,279,275,2016,99042,0.0028169867329011933,2.8169867329011935,0.0027765998263363017
2016-07-01,176,174,2016,99042,0.001777023888855233,1.777023888855233,0.0017568304355727873
2016-08-01,181,181,2016,99042,0.0018275075220613476,1.8275075220613477,0.0018275075220613476
2016-09-01,282,280,2016,99042,0.0028472769128248623,2.8472769128248623,0.0028270834595424165
2016-10-01,242,238,2016,99042,0.0024434078471759456,2.4434078471759455,0.002403020940611054
2016-11-01,281,278,2016,99042,0.002837180186183639,2.837180186183639,0.0028068900062599707
2016-12-01,271,269,2016,99042,0.00273621291977141,2.7362129197714102,0.0027160194664889643
2017-01-01,228,225,2017,99041,0.0023020769176401693,2.302076917640169,0.002271786431881746
2017-02-01,257,256,2017,99041,0.002594884946638261,2.5948849466382606,0.00258478811805212
2017-03-01,329,325,2017,99041,0.0033218566048404197,3.32185660484042,0.003281469290495855
2017-04-01,224,219,2017,99041,0.0022616896032956048,2.2616896032956046,0.0022112054603648994
2017-05-01,297,295,2017,99041,0.0029987580900839046,2.9987580900839044,0.0029785644329116223
2017-06-01,270,267,2017,99041,0.0027261437182580952,2.726143718258095,0.0026958532324996716
2017-07-01,203,201,2017,99041,0.0020496562029866418,2.049656202986642,0.0020294625458143595
2017-08-01,204,200,2017,99041,0.002059753031572783,2.0597530315727832,0.0020193657172282186
2017-09-01,243,242,2017,99041,0.0024535293464322855,2.4535293464322856,0.0024434325178461446
2017-10-01,263,259,2017,99041,0.0026554659181551076,2.6554659181551075,0.002615078603810543
2017-11-01,299,298,2017,99041,0.003018951747256187,3.0189517472561866,0.003008854918670046
2017-12-01,242,241,2017,99041,0.0024434325178461446,2.4434325178461447,0.0024333356892600033
2018-01-01,261,259,2018,99437,0.0026247774973098543,2.6247774973098545,0.002604664259782576
2018-02-01,279,273,2018,99437,0.0028057966350553618,2.8057966350553616,0.002745456922473526
2018-03-01,314,311,2018,99437,0.003157778291782737,3.157778291782737,0.003127608435491819
2018-04-01,260,258,2018,99437,0.002614720878546215,2.614720878546215,0.002594607641018937
2018-05-01,285,283,2018,99437,0.0028661363476371973,2.8661363476371973,0.002846023110109919
2018-06-01,325,318,2018,99437,0.003268401098182769,3.268401098182769,0.003198004766837294
2018-07-01,203,200,2018,99437,0.0020414936090187756,2.041493609018776,0.0020113237527278577
2018-08-01,196,194,2018,99437,0.001971097277673301,1.971097277673301,0.0019509840401460221
2018-09-01,240,238,2018,99437,0.0024135885032734294,2.4135885032734294,0.0023934752657461507
2018-10-01,309,305,2018,99437,0.00310749519796454,3.10749519796454,0.0030672687229099833
2018-11-01,296,292,2018,99437,0.0029767591540372294,2.9767591540372296,0.0029365326789826725
2018-12-01,297,295,2018,99437,0.0029868157728008687,2.9868157728008686,0.0029667025352735905
2019-01-01,271,266,2019,100230,0.002703781303003093,2.7037813030030926,0.002653896039110047
2019-02-01,296,291,2019,100230,0.0029532076224683228,2.9532076224683226,0.002903322358575277
2019-03-01,315,313,2019,100230,0.0031427716252618977,3.1427716252618976,0.0031228175197046794
2019-04-01,253,250,2019,100230,0.0025241943529881274,2.5241943529881277,0.0024942631946522995
2019-05-01,311,307,2019,100230,0.0031028634141474607,3.1028634141474605,0.003062955203033024
2019-06-01,264,259,2019,100230,0.0026339419335528287,2.6339419335528285,0.0025840566696597824
2019-07-01,234,230,2019,100230,0.0023346303501945525,2.3346303501945527,0.002294722139080116
2019-08-01,218,217,2019,100230,0.0021749975057368054,2.1749975057368056,0.0021650204529581963
2019-09-01,277,277,2019,100230,0.0027636436196747482,2.763643619674748,0.0027636436196747482
2019-10-01,258,255,2019,100230,0.0025740796168811733,2.5740796168811735,0.0025441484585453458
2019-11-01,326,324,2019,100230,0.003252519205826599,3.252519205826599,0.0032325651002693802
2019-12-01,306,304,2019,100230,0.003052978150254415,3.0529781502544147,0.0030330240446971965
2020-01-01,313,312,2020,100868,0.00310306539239402,3.10306539239402,0.0030931514454534638
2020-02-01,278,275,2020,100868,0.002756077249474561,2.756077249474561,0.002726335408652893
2020-03-01,243,240,2020,100868,0.0024090891065551017,2.4090891065551014,0.002379347265733434
2020-04-01,59,59,2020,100868,5.849228694928025e-4,0.5849228694928025,5.849228694928025e-4
2020-05-01,119,119,2020,100868,0.001179759685926161,1.179759685926161,0.001179759685926161
2020-06-01,216,214,2020,100868,0.0021414125391600904,2.1414125391600902,0.0021215846452789784
2020-07-01,205,203,2020,100868,0.0020323591228139748,2.0323591228139746,0.002012531228932863
2020-08-01,225,224,2020,100868,0.002230638061625094,2.230638061625094,0.0022207241146845382
2020-09-01,358,357,2020,100868,0.003549193004719039,3.5491930047190388,0.0035392790577784827
2020-10-01,310,303,2020,100868,0.003073323551572352,3.0733235515723516,0.00300392592298846
2020-11-01,372,363,2020,100868,0.0036879882618868222,3.6879882618868223,0.0035987627394218186
2020-12-01,346,340,2020,100868,0.003430225641432367,3.4302256414323673,0.0033707419597890313
2021-01-01,222,217,2021,100868,0.0022008962208034263,2.2008962208034264,0.0021513264861006466
2021-02-01,261,256,2021,100868,0.0025875401514851093,2.5875401514851095,0.002537970416782329
2021-03-01,308,301,2021,100868,0.00305349565769124,3.05349565769124,0.002984098029107348
2021-04-01,326,318,2021,100868,0.0032319467026212475,3.2319467026212476,0.0031526351270967997
2021-05-01,399,390,2021,100868,0.0039556648292818335,3.9556648292818335,0.00386643930681683
2021-06-01,371,362,2021,100868,0.0036780743149462665,3.6780743149462665,0.003588848792481263
2021-07-01,221,220,2021,100868,0.0021909822738628705,2.1909822738628706,0.0021810683269223143
2021-08-01,261,255,2021,100868,0.0025875401514851093,2.5875401514851095,0.0025280564698417734
2021-09-01,332,328,2021,100868,0.0032914303842645834,3.2914303842645833,0.0032517745965023595
2021-10-01,245,242,2021,100868,0.0024289170004362136,2.4289170004362135,0.002399175159614546
