decile,total,people,mean_pop,rate,prescriptions_per_100
1,3416,185,1423,2.400562192550949,240.05621925509487
2,11756,584,4586,2.5634539904055824,256.3453990405582
3,16900,784,6073,2.7828091552774574,278.2809155277457
4,19301,962,8173,2.361556344059709,236.1556344059709
5,17673,925,8031,2.2005976839745984,220.05976839745983
6,22532,1156,11203,2.0112469874140855,201.12469874140854
7,21439,1229,12331,1.7386262265834076,173.86262265834077
8,24992,1352,17070,1.4640890451083772,146.40890451083771
9,22782,1226,16076,1.4171435680517541,141.7143568051754
10,17866,915,14806,1.2066729704173984,120.66729704173984
