decile,mean_total,mean_people,mean_pop,mean_person_rate,mean_person_rate_100,mean_pop_rate,mean_pop_rate_100,total_mean_pop,proportion_total_mean_pop,area,mean_overall_rate,mean_overall_100
1,488,59,1423,0.04146170063246662,4.146170063246662,0.34293745607870696,34.2937456078707,99772,0.01426251854227639,NHS Grampian,0.2558032313675179,25.580323136751794
2,1679,200,4586,0.043610989969472304,4.361098996947231,0.36611426079372,36.611426079372,99772,0.04596479974341498,NHS Grampian,0.2558032313675179,25.580323136751794
3,2414,281,6073,0.0462703770788737,4.62703770788737,0.39749711839288654,39.74971183928865,99772,0.06086878082027022,NHS Grampian,0.2558032313675179,25.580323136751794
4,2757,333,8173,0.040743912883885965,4.074391288388597,0.33733023369631715,33.73302336963172,99772,0.0819167702361384,NHS Grampian,0.2558032313675179,25.580323136751794
5,2525,322,8031,0.04009463329597809,4.009463329597809,0.31440667413771634,31.440667413771635,99772,0.0804935252375416,NHS Grampian,0.2558032313675179,25.580323136751794
6,3219,399,11203,0.03561546014460412,3.5615460144604123,0.28733374988842275,28.733374988842275,99772,0.11228601210760535,NHS Grampian,0.2558032313675179,25.580323136751794
7,3063,414,12331,0.033573919390154895,3.3573919390154896,0.2483983456329576,24.83983456329576,99772,0.12359178927955738,NHS Grampian,0.2558032313675179,25.580323136751794
8,3570,467,17070,0.027357937902753367,2.735793790275337,0.20913884007029876,20.913884007029875,99772,0.17109008539469991,NHS Grampian,0.2558032313675179,25.580323136751794
9,3255,421,16076,0.026188106494152773,2.6188106494152774,0.20247574023388903,20.247574023388903,99772,0.16112737040452232,NHS Grampian,0.2558032313675179,25.580323136751794
10,2552,321,14806,0.02168039983790355,2.1680399837903552,0.1723625557206538,17.236255572065378,99772,0.14839834823397346,NHS Grampian,0.2558032313675179,25.580323136751794
