quarter,school_ages,total_referrals,people,year,population,ref_rate,ref_rate_1000
2015-01-01,Pre-Schoolers (2-4),57,55,2015,19661,0.0028991404302934746,2.8991404302934747
2015-01-01,Lower Primary (5-7),107,106,2015,20083,0.005327889259572773,5.327889259572773
2015-01-01,Upper Primary (8-11),186,182,2015,23910,0.0077791718946047675,7.779171894604768
2015-01-01,Lower Secondary (12-14),229,216,2015,16882,0.013564743513801682,13.564743513801682
2015-01-01,Upper Secondary (15-17),279,268,2015,18391,0.015170463813821979,15.170463813821979
2015-04-01,Pre-Schoolers (2-4),69,69,2015,19661,0.003509485784039469,3.509485784039469
2015-04-01,Lower Primary (5-7),129,128,2015,20083,0.006423343126026988,6.423343126026988
2015-04-01,Upper Primary (8-11),172,168,2015,23910,0.007193642827268925,7.193642827268925
2015-04-01,Lower Secondary (12-14),208,194,2015,16882,0.012320815069304585,12.320815069304585
2015-04-01,Upper Secondary (15-17),224,216,2015,18391,0.012179870588874993,12.179870588874993
2015-07-01,Pre-Schoolers (2-4),57,55,2015,19661,0.0028991404302934746,2.8991404302934747
2015-07-01,Lower Primary (5-7),91,88,2015,20083,0.004531195538515162,4.5311955385151625
2015-07-01,Upper Primary (8-11),157,152,2015,23910,0.00656629025512338,6.56629025512338
2015-07-01,Lower Secondary (12-14),166,158,2015,16882,0.00983295818031039,9.832958180310388
2015-07-01,Upper Secondary (15-17),229,216,2015,18391,0.01245174270023381,12.45174270023381
2015-10-01,Pre-Schoolers (2-4),51,50,2015,19661,0.002593967753420477,2.593967753420477
2015-10-01,Lower Primary (5-7),109,108,2015,20083,0.005427475974704974,5.427475974704974
2015-10-01,Upper Primary (8-11),179,178,2015,23910,0.007486407360936847,7.4864073609368464
2015-10-01,Lower Secondary (12-14),201,195,2015,16882,0.011906172254472219,11.906172254472219
2015-10-01,Upper Secondary (15-17),286,276,2015,18391,0.015551084769724322,15.551084769724323
2016-01-01,Pre-Schoolers (2-4),63,61,2016,19246,0.003273407461290658,3.273407461290658
2016-01-01,Lower Primary (5-7),105,105,2016,20159,0.005208591696016667,5.208591696016668
2016-01-01,Upper Primary (8-11),179,174,2016,24864,0.007199163449163449,7.199163449163449
2016-01-01,Lower Secondary (12-14),242,227,2016,16923,0.014300065000295455,14.300065000295456
2016-01-01,Upper Secondary (15-17),269,255,2016,17850,0.015070028011204481,15.070028011204482
2016-04-01,Pre-Schoolers (2-4),52,51,2016,19246,0.0027018601267795907,2.7018601267795908
2016-04-01,Lower Primary (5-7),108,107,2016,20159,0.005357408601617143,5.357408601617143
2016-04-01,Upper Primary (8-11),180,175,2016,24864,0.00723938223938224,7.239382239382239
2016-04-01,Lower Secondary (12-14),194,182,2016,16923,0.011463688471311233,11.463688471311233
2016-04-01,Upper Secondary (15-17),220,211,2016,17850,0.012324929971988795,12.324929971988794
2016-07-01,Pre-Schoolers (2-4),52,52,2016,19246,0.0027018601267795907,2.7018601267795908
2016-07-01,Lower Primary (5-7),87,87,2016,20159,0.00431569026241381,4.31569026241381
2016-07-01,Upper Primary (8-11),156,155,2016,24864,0.006274131274131274,6.274131274131274
2016-07-01,Lower Secondary (12-14),160,149,2016,16923,0.00945458842994741,9.454588429947409
2016-07-01,Upper Secondary (15-17),184,179,2016,17850,0.01030812324929972,10.30812324929972
2016-10-01,Pre-Schoolers (2-4),44,44,2016,19246,0.002286189338044269,2.286189338044269
2016-10-01,Lower Primary (5-7),117,117,2016,20159,0.0058038593184185725,5.8038593184185725
2016-10-01,Upper Primary (8-11),165,161,2016,24864,0.006636100386100386,6.636100386100386
2016-10-01,Lower Secondary (12-14),216,206,2016,16923,0.012763694380429002,12.763694380429001
2016-10-01,Upper Secondary (15-17),252,239,2016,17850,0.01411764705882353,14.11764705882353
2017-01-01,Pre-Schoolers (2-4),43,43,2017,18947,0.002269488573388927,2.269488573388927
2017-01-01,Lower Primary (5-7),112,110,2017,19910,0.0056253139126067305,5.625313912606731
2017-01-01,Upper Primary (8-11),183,182,2017,25675,0.007127555988315482,7.127555988315482
2017-01-01,Lower Secondary (12-14),239,232,2017,17234,0.013867935476383892,13.867935476383892
2017-01-01,Upper Secondary (15-17),237,228,2017,17275,0.013719247467438495,13.719247467438494
2017-04-01,Pre-Schoolers (2-4),56,56,2017,18947,0.0029556130258088353,2.955613025808835
2017-04-01,Lower Primary (5-7),98,98,2017,19910,0.004922149673530889,4.922149673530889
2017-04-01,Upper Primary (8-11),199,194,2017,25675,0.007750730282375852,7.7507302823758515
2017-04-01,Lower Secondary (12-14),239,227,2017,17234,0.013867935476383892,13.867935476383892
2017-04-01,Upper Secondary (15-17),199,195,2017,17275,0.011519536903039074,11.519536903039075
2017-07-01,Pre-Schoolers (2-4),55,55,2017,18947,0.0029028342217765346,2.9028342217765344
2017-07-01,Lower Primary (5-7),90,87,2017,19910,0.0045203415369161224,4.520341536916122
2017-07-01,Upper Primary (8-11),161,158,2017,25675,0.006270691333982473,6.270691333982473
2017-07-01,Lower Secondary (12-14),142,137,2017,17234,0.008239526517349426,8.239526517349425
2017-07-01,Upper Secondary (15-17),202,196,2017,17275,0.011693198263386396,11.693198263386396
2017-10-01,Pre-Schoolers (2-4),45,43,2017,18947,0.0023750461814535284,2.3750461814535284
2017-10-01,Lower Primary (5-7),110,106,2017,19910,0.0055248618784530384,5.524861878453039
2017-10-01,Upper Primary (8-11),180,179,2017,25675,0.007010710808179162,7.010710808179162
2017-10-01,Lower Secondary (12-14),190,186,2017,17234,0.011024718579552048,11.024718579552047
2017-10-01,Upper Secondary (15-17),279,268,2017,17275,0.016150506512301013,16.150506512301014
2018-01-01,Pre-Schoolers (2-4),47,47,2018,18950,0.002480211081794195,2.480211081794195
2018-01-01,Lower Primary (5-7),95,94,2018,19541,0.0048615731027071285,4.861573102707128
2018-01-01,Upper Primary (8-11),203,201,2018,26313,0.007714817770683693,7.714817770683693
2018-01-01,Lower Secondary (12-14),260,246,2018,17660,0.014722536806342015,14.722536806342015
2018-01-01,Upper Secondary (15-17),249,241,2018,16973,0.014670358805161139,14.670358805161138
2018-04-01,Pre-Schoolers (2-4),56,55,2018,18950,0.0029551451187335093,2.955145118733509
2018-04-01,Lower Primary (5-7),116,114,2018,19541,0.005936236630673967,5.936236630673967
2018-04-01,Upper Primary (8-11),192,186,2018,26313,0.007296773457986547,7.296773457986546
2018-04-01,Lower Secondary (12-14),266,255,2018,17660,0.01506228765571914,15.062287655719139
2018-04-01,Upper Secondary (15-17),240,233,2018,16973,0.014140104872444471,14.140104872444471
2018-07-01,Pre-Schoolers (2-4),44,44,2018,18950,0.0023218997361477574,2.3218997361477576
2018-07-01,Lower Primary (5-7),84,82,2018,19541,0.0042986541118673555,4.298654111867355
2018-07-01,Upper Primary (8-11),144,142,2018,26313,0.00547258009348991,5.47258009348991
2018-07-01,Lower Secondary (12-14),172,164,2018,17660,0.009739524348810872,9.739524348810871
2018-07-01,Upper Secondary (15-17),195,190,2018,16973,0.011488835208861133,11.488835208861133
2018-10-01,Pre-Schoolers (2-4),61,60,2018,18950,0.0032189973614775726,3.2189973614775726
2018-10-01,Lower Primary (5-7),103,102,2018,19541,0.005270968732408781,5.2709687324087815
2018-10-01,Upper Primary (8-11),172,167,2018,26313,0.006536692889446282,6.5366928894462815
2018-10-01,Lower Secondary (12-14),287,280,2018,17660,0.01625141562853907,16.25141562853907
2018-10-01,Upper Secondary (15-17),279,273,2018,16973,0.0164378719142167,16.4378719142167
2019-01-01,Pre-Schoolers (2-4),48,48,2019,18762,0.0025583626479053407,2.5583626479053407
2019-01-01,Lower Primary (5-7),111,110,2019,19218,0.0057758351545426165,5.775835154542617
2019-01-01,Upper Primary (8-11),219,215,2019,26922,0.008134611098729663,8.134611098729664
2019-01-01,Lower Secondary (12-14),256,245,2019,18274,0.014008974499288607,14.008974499288607
2019-01-01,Upper Secondary (15-17),248,241,2019,17054,0.014542042922481528,14.542042922481528
2019-04-01,Pre-Schoolers (2-4),34,32,2019,18762,0.001812173542266283,1.812173542266283
2019-04-01,Lower Primary (5-7),99,98,2019,19218,0.005151420543240711,5.151420543240711
2019-04-01,Upper Primary (8-11),226,220,2019,26922,0.00839462149914568,8.394621499145678
2019-04-01,Lower Secondary (12-14),266,257,2019,18274,0.014556200065667067,14.556200065667067
2019-04-01,Upper Secondary (15-17),203,201,2019,17054,0.011903365779289316,11.903365779289317
2019-07-01,Pre-Schoolers (2-4),23,23,2019,18762,0.001225882102121309,1.225882102121309
2019-07-01,Lower Primary (5-7),90,88,2019,19218,0.004683109584764283,4.683109584764283
2019-07-01,Upper Primary (8-11),180,175,2019,26922,0.006685981724983285,6.685981724983285
2019-07-01,Lower Secondary (12-14),197,191,2019,18274,0.010780343657655686,10.780343657655687
