month_year,sex,referrals,people,proportion,year,population,ref_rate,ref_rate_1000
2015-01-01,F,134,132,0.5095057034220533,2015,48101,0.002785804868921644,2.785804868921644
2015-01-01,M,129,128,0.49049429657794674,2015,50826,0.0025380710659898475,2.5380710659898473
2015-02-01,F,150,149,0.5597014925373134,2015,48101,0.0031184382861063177,3.1184382861063176
2015-02-01,M,118,116,0.44029850746268656,2015,50826,0.0023216464014480776,2.3216464014480778
2015-03-01,F,164,162,0.5015290519877675,2015,48101,0.0034094925261429075,3.4094925261429077
2015-03-01,M,163,161,0.4984709480122324,2015,50826,0.0032070200291189547,3.207020029118955
2015-04-01,F,136,134,0.5291828793774319,2015,48101,0.0028273840460697284,2.8273840460697284
2015-04-01,M,121,119,0.4708171206225681,2015,50826,0.0023806713099594696,2.3806713099594696
2015-05-01,F,116,116,0.4084507042253521,2015,48101,0.002411592274588886,2.411592274588886
2015-05-01,M,168,165,0.5915492957746479,2015,50826,0.003305394876637941,3.305394876637941
2015-06-01,F,119,118,0.4559386973180077,2015,48101,0.002473961040311012,2.473961040311012
2015-06-01,M,142,141,0.5440613026819924,2015,50826,0.0027938456695392124,2.793845669539212
2015-07-01,F,86,85,0.4725274725274725,2015,48101,0.0017879046173676224,1.7879046173676223
2015-07-01,M,96,93,0.5274725274725275,2015,50826,0.0018887970723645378,1.8887970723645378
2015-08-01,F,100,98,0.4854368932038835,2015,48101,0.002078958857404212,2.078958857404212
2015-08-01,M,106,105,0.5145631067961165,2015,50826,0.0020855467674025106,2.0855467674025108
2015-09-01,F,165,162,0.5288461538461539,2015,48101,0.0034302821147169497,3.4302821147169498
2015-09-01,M,147,142,0.47115384615384615,2015,50826,0.0028922205170581984,2.8922205170581985
2015-10-01,F,138,136,0.5036496350364964,2015,48101,0.0028689632232178127,2.8689632232178126
2015-10-01,M,136,135,0.49635036496350365,2015,50826,0.0026757958525164285,2.6757958525164285
2015-11-01,F,127,125,0.4756554307116105,2015,48101,0.0026402777489033494,2.6402777489033493
2015-11-01,M,140,139,0.5243445692883895,2015,50826,0.002754495730531618,2.754495730531618
2015-12-01,F,121,118,0.4245614035087719,2015,48101,0.0025155402174590964,2.5155402174590966
2015-12-01,M,164,164,0.5754385964912281,2015,50826,0.003226694998622752,3.226694998622752
2016-01-01,F,129,127,0.5019455252918288,2016,48280,0.002671913835956918,2.671913835956918
2016-01-01,M,128,127,0.4980544747081712,2016,50762,0.0025215712540877034,2.5215712540877036
2016-02-01,F,149,146,0.45288753799392095,2016,48280,0.0030861640430820216,3.0861640430820216
2016-02-01,M,180,175,0.547112462006079,2016,50762,0.0035459595760608327,3.5459595760608327
2016-03-01,F,122,121,0.4485294117647059,2016,48280,0.0025269262634631316,2.5269262634631318
2016-03-01,M,150,147,0.5514705882352942,2016,50762,0.0029549663133840273,2.9549663133840274
2016-04-01,F,99,99,0.4419642857142857,2016,48280,0.0020505385252692627,2.0505385252692627
2016-04-01,M,125,122,0.5580357142857143,2016,50762,0.002462471927820023,2.462471927820023
2016-05-01,F,115,114,0.4581673306772908,2016,48280,0.0023819386909693457,2.3819386909693456
2016-05-01,M,136,133,0.5418326693227091,2016,50762,0.0026791694574681848,2.6791694574681846
2016-06-01,F,135,134,0.4838709677419355,2016,48280,0.002796188898094449,2.796188898094449
2016-06-01,M,144,141,0.5161290322580645,2016,50762,0.002836767660848666,2.836767660848666
2016-07-01,F,79,78,0.44886363636363635,2016,48280,0.001636288318144159,1.636288318144159
2016-07-01,M,97,96,0.5511363636363636,2016,50762,0.0019108782159883376,1.9108782159883377
2016-08-01,F,82,82,0.4530386740331492,2016,48280,0.0016984258492129245,1.6984258492129245
2016-08-01,M,99,99,0.5469613259668509,2016,50762,0.001950277766833458,1.950277766833458
2016-09-01,F,149,148,0.5283687943262412,2016,48280,0.0030861640430820216,3.0861640430820216
2016-09-01,M,133,132,0.4716312056737589,2016,50762,0.0026200701312005044,2.6200701312005044
2016-10-01,F,105,103,0.43388429752066116,2016,48280,0.0021748135874067936,2.1748135874067938
2016-10-01,M,137,135,0.5661157024793388,2016,50762,0.002698869232890745,2.698869232890745
2016-11-01,F,140,139,0.498220640569395,2016,48280,0.002899751449875725,2.8997514498757253
2016-11-01,M,141,139,0.501779359430605,2016,50762,0.002777668334580986,2.777668334580986
2016-12-01,F,133,133,0.4907749077490775,2016,48280,0.0027547638773819387,2.7547638773819387
2016-12-01,M,138,136,0.5092250922509225,2016,50762,0.002718569008313305,2.718569008313305
2017-01-01,F,109,108,0.4780701754385965,2017,48192,0.0022617861885790174,2.2617861885790176
2017-01-01,M,119,117,0.5219298245614035,2017,50849,0.002340262345375524,2.340262345375524
2017-02-01,F,121,121,0.4708171206225681,2017,48192,0.0025107901726427622,2.5107901726427624
